Well	Plane	Timepoint	Cell Selected - Number of Objects	Cell Selected - Total Spot Area - Mean per Well	Cell Selected - Number of Spots - Mean per Well	Cell Selected - Relative Spot Intensity - Mean per Well	Cell Selected - Number of Spots per Area of Cytoplasm - Mean per Well	Cell Selected - Intensity Cytoplasm Mean - Mean per Well	Spots Selected - Number of Objects	Spots Selected - Relative Spot  Intensity - Mean per Well	Spots Selected - Corrected Spot  Intensity - Mean per Well	Spots Selected - Spot Area [px²] - Mean per Well	Spots Selected - Intensity Spot Mean - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
G10	1	0	2140	10.846728972	0.293457943925	0.00392430086482	0.000351243234763	1028.6315558	697	0.125384244763	334.239135081	36.4921090387	2201.39249082	4	0	0					
G11	1	0	2168	11.1955719557	0.316420664207	0.00415106181194	0.000410708981297	1062.17515743	747	0.126230004496	344.021234742	35.5970548862	2231.05129955	4	0	0					
G12	1	0	2003	11.8602096855	0.369445831253	0.00378157784529	0.000438881280019	1029.8998842	796	0.126182293945	309.229718536	32.2185929648	2077.94003857	4	0	0					
G13	1	0	2313	10.5853869434	0.33635970601	0.00388653666966	0.000426470865084	1080.26038759	849	0.129696735713	351.737581752	31.8150765607	2258.61374435	4	0	0					
G14	1	0	2297	10.4083587288	0.329560296038	0.00337761226018	0.00040565456594	1060.16602146	816	0.123149350402	315.501266596	32	2200.42898366	4	0	0					
G15	1	0	2389	12.4499790707	0.413980745082	0.00404971512196	0.000514158875471	1074.68838385	1073	0.122838076857	339.358240069	30.4836905871	2307.2639966	4	0	0					
G16	1	0	1128	12.2828014184	0.277482269504	0.0060885305007	0.000269034350545	989.880349004	347	0.172318798591	631.952749846	44.8847262248	3136.8771877	4	0	0					
G17	1	0	2283	12.2947875602	0.387209811651	0.00394050866809	0.000498298497475	1014.91498539	942	0.121145315752	275.40330049	31.9278131635	1936.17691476	4	0	0					
G18	1	0	2369	8.84423807514	0.281975517096	0.00283935586553	0.0003518877443	997.85474564	709	0.120869508416	295.918456648	31.6459802539	2026.35256309	4	0	0					
G19	1	0	2516	10.7611287758	0.341812400636	0.00371611471974	0.000422689389445	968.937178782	940	0.127037030299	321.026748779	31.3191489362	2088.49077203	4	0	0					
G20	1	0	2315	15.7157667387	0.561123110151	0.00482941721709	0.000728906334185	998.684978648	1385	0.12084899339	260.450926335	28.3653429603	1913.74432349	4	0	0					
G21	1	0	2086	5.57190795781	0.167785234899	0.00173077845163	0.000193704168246	875.855844902	395	0.131591569247	282.338156885	33.3367088608	1777.42357163	4	0	0					
G22	1	0	2252	10.4511545293	0.340586145648	0.00312803941908	0.000421268853641	958.007557172	860	0.121555333803	264.594583201	30.9860465116	1921.6383979	4	0	0					
G23	1	0	2335	7.22826552463	0.199143468951	0.00235228637543	0.000261214795551	1267.60523592	501	0.121275574759	362.532445819	36.4371257485	2321.96676946	4	0	0					
G24	1	0	2121	109.752475248	4.74776049033	0.045130421006	0.00639788020575	1589.59155776	11041	0.147005074636	446.109072536	23.2862059596	2824.82123108	4	0	0					
H01	1	0	2410	9.99626556017	0.324066390041	0.00342920034127	0.000416837196896	890.278511184	858	0.125680954599	267.745633219	31.013986014	1836.93833713	4	0	0					
H02	1	0	2352	44.6118197279	1.26573129252	0.012614868407	0.00165226757558	1122.43213903	3267	0.120323827137	245.918026979	35.1447811448	1914.74165985	4	0	0					
H03	1	0	2353	10.810879728	0.337866553336	0.00327334887711	0.00038547518009	977.595382381	868	0.122215096242	274.095027105	32.0587557604	1968.74579451	4	0	0					
H04	1	0	2419	10.2319140141	0.319966928483	0.00341852392303	0.00039596346061	991.018280752	840	0.123670160386	297.620738295	31.7488095238	2032.45203664	4	0	0					
H05	1	0	2094	8.27554918816	0.238299904489	0.00306661227499	0.000267184943834	967.463987749	565	0.135002123281	360.674039465	34.5097345133	2145.88563507	4	0	0					
H06	1	0	2366	10.5071851226	0.245984784446	0.0042200688722	0.000305114473834	1056.84985566	622	0.13174588541	451.689255147	42.9823151125	2749.34240161	4	0	0					
H07	1	0	2261	10.6983635559	0.30738611234	0.00370505013661	0.00038836623678	1030.04747562	751	0.125540016046	330.547082132	35.1491344874	2206.37179233	4	0	0					
H08	1	0	2197	10.5580336823	0.318161128812	0.0043541923193	0.000395093199462	1021.85641013	755	0.131216964452	392.831718914	33.3668874172	2397.48965808	4	0	0					
H09	1	0	2284	11.1125218914	0.355954465849	0.00413725548044	0.00043913521664	1031.600771	892	0.125538410734	337.14781074	31.3553811659	2207.33072544	4	0	0					
H10	1	0	2294	10.9032258065	0.329119442023	0.00295064548155	0.000385471331769	1069.94714117	820	0.117301455475	278.287357349	33.8707317073	2022.49825727	4	0	0					
H11	1	0	1803	22.3266777593	0.676650027732	0.00475359830077	0.000603851898454	1085.40796848	1375	0.123681210149	273.893210512	33.8123636364	1937.66939936	4	0	0					
H12	1	0	2466	12.4436334144	0.32400648824	0.00437894041616	0.000428206198184	1120.44713966	852	0.126958536564	373.678136455	38.2453051643	2492.80336307	4	0	0					
H13	1	0	2098	6.4037178265	0.212106768351	0.00221737522193	0.00027057036371	1024.2499955	493	0.123887191068	290.028230919	30.7890466531	1964.59644131	4	0	0					
H14	1	0	2336	10.383989726	0.354452054795	0.00373753725748	0.000432278407017	1048.11138348	901	0.126990480493	324.56017696	29.4306326304	2111.84619265	4	0	0					
H15	1	0	2181	144.118752866	6.25217790005	0.0689386716286	0.00843426438624	2094.85790819	14829	0.156868318061	660.462457976	23.2633353564	3902.36894561	4	0	0					
H16	1	0	2420	11.3623966942	0.398760330579	0.00398248876757	0.000483090956087	1098.26972376	1045	0.126565551173	344.408839631	28.5550239234	2299.74311444	4	0	0					
H17	1	0	2369	11.3389615872	0.368509919797	0.00336605214862	0.000472874323104	1019.15103382	942	0.119558379129	253.705143608	30.9851380042	1854.31417358	4	0	0					
H18	1	0	2234	10.1853178156	0.318263205013	0.00365474489984	0.000392816533895	1059.78414174	770	0.124815648431	321.714057941	32.5519480519	2248.47957954	4	0	0					
H19	1	0	2332	10.3567753002	0.308319039451	0.00340670991165	0.000374258265058	965.921636487	792	0.126172401056	292.199643245	33.7676767677	1958.9495833	4	0	0					
H20	1	0	2120	13.3528301887	0.456132075472	0.00426390436961	0.000546759193272	972.927061151	1039	0.122178175821	279.562872459	29.3012512031	1987.62786303	4	0	0					
H21	1	0	2233	11.0680698612	0.35736677116	0.00408683993042	0.000439642401896	947.63467479	873	0.128995901951	360.635860645	31.1466208477	2284.31346907	4	0	0					
H22	1	0	1409	7.46132008517	0.222143364088	0.00253281327901	0.000227078589248	839.999163776	335	0.133970363535	337.700385464	34.1611940299	2095.15234224	4	0	0					
